AGNO,NOM_REG_RBD_A,COD_ENSE,PROM_NOTAS_ALU,ENSE_COMPLETA,MARCA_EGRESO,cat_periodo,gen_alu,anio_ing_carr_act,nivel_carrera_2
2015,LAGOS,310,5.7,1,1,2022,2,2016,Carreras Profesionales
2015,LAGOS,310,5.4,1,1,2022,1,2018,Carreras Técnicas
2015,AYSEN,310,5.5,1,1,2022,1,2017,Carreras Profesionales
2015,LAGOS,310,5.0,1,1,2022,1,2017,Carreras Profesionales
2015,RM,310,6.3,1,1,2022,2,2018,Carreras Profesionales
2015,MAG,363,5.6,1,1,2022,2,2021,Carreras Técnicas
2015,LAGOS,310,5.3,1,1,2022,1,2020,Carreras Profesionales
2015,LAGOS,310,6.3,1,1,2022,1,2022,Postítulo
2015,AYSEN,310,5.0,1,1,2022,2,2019,Carreras Técnicas
2015,LAGOS,310,5.3,1,1,2022,2,2016,Carreras Profesionales
2015,LAGOS,363,4.6,1,1,2022,2,2017,Carreras Profesionales
2015,COQ,410,6.5,1,1,2022,1,2020,Carreras Profesionales
2015,ANTOF,410,4.6,1,1,2022,1,2020,Carreras Técnicas
2015,ARAUC,363,6.6,1,1,2022,2,2019,Carreras Técnicas
2015,RM,363,4.5,1,1,2022,1,2018,Carreras Técnicas
2015,RM,363,6.2,1,1,2022,2,2017,Carreras Profesionales
2015,RM,363,6.2,1,1,2022,2,2019,Carreras Técnicas
2015,RM,363,6.0,1,1,2022,2,2020,Carreras Técnicas
